Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Box Office (Gross USA),Runtime,Sound Mix,Aspect Ratio,title,Rerelease Date (Theaters),Release Date (DVD),Creator
Laura Chinn,"Jeremy Plager,Francesca Silvestri,Kevin Chinoy,Oliver Obst",Laura Chinn,Searchlight Pictures,"Freestyle Picture Company,Seven Deuce Entertainment,Searchlight Pictures",R (Language|Teen Drug and Alcohol Use|Some Sexual References),Drama,English,"Feb 2, 2024, Limited","Feb 9, 2024",,1h 49m,Dolby Digital,,Suncoast,,,
James Black,"J.R. Bookwalter,Chuck Williams","Douglas Snauffer,Carl Washington",,"Big City Pictures,Tempe Entertainment,Full Moon Pictures",R,Horror,English,,"Mar 10, 2017",,1h 12m,,,The Vault,,,
Patrick Roddy,,,,,,Horror,English,,,,1h 25m,,,Mercy,,,
"Jeff Zimbalist,Maria Bukhonina","Jeff Zimbalist,Maria Bukhonina,Tamir Ardon,Chris Smith",Jeff Zimbalist,Netflix,"All Rise Films,XYZ Films,Library Films",R (Language),"Documentary,Romance",English,"Jul 12, 2024, Limited","Jul 19, 2024",,1h 39m,Dolby Digital,,Skywalkers: A Love Story,,,
Claudio Bellante,"Armand Assante,Claudio Bellante,Michael Domino","Claudio Bellante,Michael Domino",Archstone Entertainment,"Domino Pictures,IlCapo Films",,"Comedy,Crime,Drama",English,,"Nov 1, 2024",,1h 24m,,,Don Q,,,
Erik Skjoldbjærg,Aage Aaberge,"Christopher Grøndahl,Live Bonnevie,Erik Skjoldbjærg,Sebastian Torngren Wartin",,Nordisk Film Production,,"Drama,History,War",Norwegian,,"Jan 23, 2023",,1h 48m,,,Narvik,,,
"Henry Joost,Ariel Schulman",,Mattson Tomlin,,Screen Arcade,R (Some Language|Drug Content|Bloody Images|Violence),"Action,Mystery & Thriller,Fantasy",English,,"Aug 14, 2020",,1h 53m,,,Project Power,,,
Natalie Erika James,Jake Gyllenhaal,"Natalie Erika James,Christian White",IFC Midnight,"Nine Stories Productions,AGBO,Film Victoria,Carver Films,Screen Australia",R (Some Horror Violence|Language|Disturbing Images),"Horror,Drama",English,"Jul 10, 2020, Limited","Jun 26, 2020",$1.0M,1h 29m,,Scope (2.35:1),Relic,,,
Raine Allen Miller,"Yvonne Isimeme Ibazebo,Damian Jones","Nathan Bryon,Tom Melia",Hulu,"BBC Films,DJ Films,British Film Institute",R (Some Sexual Content|Nudity|Language),"Romance,Comedy,Drama",English,,"Mar 31, 2023",,1h 22m,,,Rye Lane,,,
David Wall,"David Wall,Kerry Wall,Sean Patrick Brennan,Lenny Manzo",David Wall,,"Volo Films,Gener8Xion Entertainment",PG (A Fight|Thematic Elements),"Holiday,Drama,Romance",English,"Dec 7, 2007, Limited","Jul 29, 2019",$242.9K,1h 41m,,,Noelle,,,
Richard Compton,,,,,PG,Mystery & Thriller,English,,,,1h 30m,,,Ransom,,"Oct 10, 2017",
Justin Denton,Carl Choi,"Justin Denton,Adam Davis,Will Corona Pilgrim",Samuel Goldwyn Films,"Feared Features,The Line Film Company",,"Horror,Mystery & Thriller",English,,"Sep 20, 2024",,1h 29m,,,Curse of the Sin Eater,,,
Joe Knee,,,,,,"Horror,Mystery & Thriller",English,"Nov 15, 2004, Original",,,1h 30m,,,Ghost Game,,"May 16, 2006",
Jeff Wamester,"James Krieg,Kimberly S. Moreau,Michael E. Uslan",James Krieg,Warner Bros.,"Warner Bros. Animation,Warner Bros. Home Entertainment Group",PG-13 (Some Disturbing Images|Violence|Thematic Elements),"Action,Adventure,Animation",English,,"Apr 23, 2024",,1h 34m,,,Justice League: Crisis on Infinite Earths Part Two,,,
Peter Segal,"Chris Bender,Peter Segal,Jake Weiner,Robert Simonds,Gigi Pritzker,Dave Bautista,Jonathan Meisner","Erich Hoeber,Jon Hoeber,Peter Segal",Amazon MGM Studios,"Lupin Film,MWM Studios,STX Films",PG-13 (Suggestive References|Some Strong Language|A Nude Sculpture|Teen Drinking|Violence/Action),"Comedy,Action",English,,"Jul 18, 2024",,1h 52m,,,My Spy: The Eternal City,,,
Phyllida Lloyd,"Rory Gilmartin,Ed Guiney,Sharon Horgan","Malcolm Campbell,Clare Dunne",Amazon Studios,"Merman Films,BBC Films,Element Pictures,British Film Institute,Screen Ireland",R (Some Domestic Violence|Language),Drama,British English,"Dec 30, 2020, Limited","Jan 8, 2021",,1h 37m,,Scope (2.35:1),Herself,,,
Benedict Mique,,"Benedict Mique,Benedict Mique",Netflix,,,Drama,Filipino,,"Aug 7, 2024",,1h 37m,,,Lolo and the Kid,,,
Kirk DeMicco,Kelly Cooney,"Kirk DeMicco,Brian C. Brown,Elliott DiGuiseppi",Universal Pictures,"DreamWorks Animation,Mike Mitchell Productions,Universal Films",PG (Some Action|Rude Humor|Thematic Elements),"Kids & Family,Comedy,Adventure,Fantasy,Animation",English,"Jun 30, 2023, Wide","Jul 18, 2023",$15.7M,1h 31m,"Dolby Atmos,Dolby Digital",Digital 2.39:1,"Ruby Gillman, Teenage Kraken",,,
Takashi Shimizu,"Doug Davison,Rob Tapert,Takashige Ichise","Takashi Shimizu,Stephen Susco",Sony Pictures Entertainment,"Senator International,Ghost House Pictures",PG-13 (Mature Thematic Material|Disturbing Images|Some Sensuality|Terror|Violence),"Horror,Mystery & Thriller",English,"Oct 22, 2004, Wide","Jun 18, 2013",$110.2M,1h 30m,"Surround,DTS,Dolby SRD,SDDS",Flat (1.37:1),The Grudge,,,
Kurt Wimmer,"John Baldecchi,Doug Barry,Lucas Foster",Kurt Wimmer,RLJE Films,"Digital Riot Media,ANVL Entertainment,Cinemation Studios,Angel Oak Films,Impala",R (Violence and Bloody Images),Horror,English,"Mar 3, 2023, Wide","Mar 21, 2023",,1h 32m,,,Children of the Corn,,,
Haroula Rose,"Liz Cardenas,Coby Goss,Ian Keiser,Mary Angela Munez","Coby Goss,Haroula Rose",Freestyle Digital Media,"Pogi Studios,Lucky Number 8 Productions,Glass Bead Films,Chicago Media Angels,Ten to the Six Pictures,Attic Light Films,Neon Heart Productions",,"Comedy,Drama",English,"Sep 20, 2024, Limited","Oct 18, 2024",,1h 30m,,Scope (2.35:1),All Happy Families,,,
Heo Myeong Haeng,Seung-min Byun,"Kim Bo Tong,Kwak Jae-Min",Netflix,"Big Punch Pictures,Nova Films,Climax Studio",,"Action,Sci-Fi,Mystery & Thriller",Korean,,"Jan 26, 2024",,1h 47m,,,Badland Hunters,,,
Thomas Vinterberg,"Kasper Dissing,Sisse Graum Jørgensen","Thomas Vinterberg,Tobias Lindholm",Samuel Goldwyn Films,"Det Danske Filminstitut,Netherlands Film Production Incentive,Zentropa International Sweden,TV2 Danmark,Nederlands Filmfonds,Zentropa Productions 2,Film i Väst,Eurimages,Zentropa Entertainment,Topkapi Films,MEDIA Programme of the European Union,Svenska Filminstitutet,Zentropa International Netherlands",,"Comedy,Drama",Danish,"Dec 4, 2020, Limited","Dec 18, 2020",,1h 55m,,,Another Round,,,
Mark Williams,"Myles Nestel,Tai Duncan,Craig Chapman,Jonah Loop,Mark Williams","Steve Allrich,Mark Williams",Open Road,"Ingenious Media,Solution Entertainment Group,Cutting Edge Group,J Cubed Film Finance,Sprockefeller Pictures,Samuel Marshall Films,Briarcliff Entertainment,Major Epics,Samuel Marshall Productions,Argonaut Entertainment Partners,Dreadnought Films,Sculptor Media,Zero Gravity Management,Honest Thief Productions",PG-13 (Crude References|Brief Strong Language|Strong Violence),"Action,Mystery & Thriller",English,"Oct 16, 2020, Wide","Nov 20, 2020",$14.2M,1h 39m,"DTS,Dolby Digital,Dolby Atmos",Scope (2.35:1),Honest Thief,,,
Mark L. Lester,Frank Capra Jr.,Stanley Mann,,"Universal Pictures,Dino de Laurentiis Corp.",R,Horror,English,,"Apr 19, 2016",,1h 53m,,,Firestarter,,,
Emma Seligman,"Kieran Altmann,Katie Schiller,Lizzie Shapiro",Emma Seligman,Utopia,"It Doesn't Suck Productions,Dimbo Pictures,Irving Harvey,Neon Heart Productions,Thick Media Co.",,"Comedy,LGBTQ+,Drama",English,"Apr 2, 2021, Limited","Apr 2, 2021",$45.1K,1h 17m,,,Shiva Baby,,,
Nuri Bilge Ceylan,Nuri Bilge Ceylan,"Nuri Bilge Ceylan,Ebru Ceylan,Akin Aksu",Sideshow / Janus Films,Memento Films Production,,Drama,Turkish,"Feb 23, 2024, Limited","May 21, 2024",$118.7K,3h 17m,,,About Dry Grasses,,,
Paul Greengrass,"Gary Goetzman,Gail Mutrux,Gregory Goodman","Paul Greengrass,Luke Davies",Universal Pictures,"Universal Pictures,Perfect World Pictures,Pretty Pictures,Playtone Productions",PG-13 (Some Language|Disturbing Images|Thematic Material|Violence),"Western,Adventure,Drama",English,"Dec 25, 2020, Wide","Jan 15, 2021",$12.7M,1h 58m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),News of the World,,,
"Hayao Miyazaki,Gary Rydstrom",Toshio Suzuki,"Hayao Miyazaki,Mike Jones",Walt Disney,"Studio Ghibli,Walt Disney Animation",PG-13 (Some Disturbing Images|Smoking),"History,Drama,Biography,Anime",Japanese,"Feb 28, 2014, Wide","Aug 30, 2020",,2h 6m,,,The Wind Rises,,,
Ali Wong,,,Netflix,,,"Stand-Up,Comedy",English,,"Oct 8, 2024",,59m,,,Ali Wong: Single Lady,,,
Wes Anderson,"Wes Anderson,Steven Rales,Jeremy Dawson","Wes Anderson,Roman Coppola,Hugo Guinness",Searchlight Pictures,"American Empirical Pictures,Studio Babelsberg,Indian Paintbrush",R (Language|Graphic Nudity|Some Sexual References),"Comedy,Drama",English,"Oct 29, 2021, Wide","Dec 13, 2021",$16.1M,1h 47m,Dolby Digital,,The French Dispatch,,,
Ben Gregor,,,,,,"Documentary,Music",English,,,,,,,Fatherhood,,,
Nneka Onuorah,"Carmen Cee,Mackenzie Hill",,Prime Video,"Amazon MGM Studios,Time Studios,Roc Nation",,"Documentary,Biography,Music",English,"Oct 30, 2024, Limited","Oct 31, 2024",,1h 52m,,,Megan Thee Stallion: In Her Words,,,
Steven C. Miller,"Jamie Goehring,Brad Krevoy,Mick MacKay","Christopher Beyrooty,Nick Waters,Chris Sivertson",,"Lighthouse Pictures,Motion Picture Corporation of America (MPCA)",R (Some Sexual Material|Language|Drug Use|Violence and Gore),"Horror,Mystery & Thriller,Sci-Fi",English,,"Sep 9, 2022",,1h 45m,,,Margaux,,,
Petr Jákl,"Petr Jákl,Cassian Elwes",Petr Jákl,The Avenue,"KORD.Media,J.B.J. Film,Double Tree Entertainment,Genesy,Wog Film",R (Strong Grisly Violent Content|Some Nudity),"History,Drama,Adventure,War",English,"Sep 9, 2022, Wide","Nov 8, 2022",$1.3M,2h 6m,Dolby Digital,Digital 2.39:1,Medieval,,,
Navot Papushado,"Andrew Rona,Alex Heineman","Navot Papushado,Ehud Lavski",Netflix,"Studio Babelsberg,The Picture Company,Cine+,StudioCanal",R (Strong Bloody Violence|Language),"Action,Mystery & Thriller,Crime,Drama",English,"Jul 14, 2021, Limited","Jul 14, 2021",,1h 54m,Dolby Atmos,Scope (2.35:1),Gunpowder Milkshake,,,
Mary Lambert,Brad Krevoy,"Kim Beyer-Johnson,Neal H. Dobrofsky,Tippi Dobrofsky,Ally Carter",,Motion Picture Corporation of America,,"Holiday,Romance,Comedy",English,,"Nov 26, 2021",,1h 38m,,,A Castle for Christmas,,,
John Carpenter,John Carpenter,"John Carpenter,Dan O'Bannon",,"University of Southern California (USC),Jack H. Harris Enterprises",G,Sci-Fi,English,,"Jan 7, 2020",,1h 23m,Mono,"35mm,16mm,Flat (1.85:1)",Dark Star,,,
DW Medoff,Stephen Beehler,DW Medoff,Dark Sky Films,RoleCall,,Horror,English,"Oct 18, 2024, Limited","Oct 18, 2024",,1h 35m,,,I Will Never Leave You Alone,,,
Jason Satterlund,"Victoria Hadeler,Regis Terencio",Dwain Worrell,Lionsgate,"Grindstone Entertainment Group,Mill House Motion Pictures",R,"Sci-Fi,Mystery & Thriller,Horror",English,"Jul 19, 2024, Limited","Jul 30, 2024",,1h 36m,,,The Abandon,,,
Franklin Ritch,"Aaron B. Koontz,Ashleigh Snead",Franklin Ritch,XYZ Films,"Paper Street Pictures,Last Resort Ideas,Blood Oath",,"Sci-Fi,Mystery & Thriller",English,"Apr 27, 2023, Limited","Apr 27, 2023",,1h 33m,,,The Artifice Girl,,,
Michael Jacobs,"Michael Jacobs,Scott Mednick,Vincent Newman",Michael Jacobs,Vertical Entertainment,"Endeavor Content,Vincent Newman Entertainment",PG-13 (Sexually Suggestive Material|Brief Strong Language),"Comedy,Romance",English,"Jan 27, 2023, Limited","Feb 14, 2023",,1h 35m,,,Maybe I Do,,,
Pedro Almodóvar,"Agustín Almodóvar,Esther García","Pedro Almodóvar,Pedro Almodóvar",Sony Pictures Classics,El Deseo,R (Language|Bloody Images|Some Sexual Content),"Western,LGBTQ+,Short",English,"Oct 4, 2023, Limited","Feb 13, 2024",$503.8K,31m,Dolby Digital,,Strange Way of Life,,,
Alejandro Hidalgo,"Antonio Abdo,Alejandro Hidalgo,Joel Seidl,Karim Kabche","Santiago Fernández Calvete,Alejandro Hidalgo",Saban Films,"Terminal,Epica Pictures,Mouth of the Devil,Kabche Film Production",R (Sexual Content/Nudity|Disturbing and Violent Content|Some Language),"Horror,Drama",English,"Mar 11, 2022, Limited","Mar 11, 2022",,1h 39m,,,The Exorcism of God,,,
Douglas Watkin,"Dena Curtis,Lawrence Johnston,Veronica Fury","Veronica Fury,Axel Grigor,Douglas Watkin,Murray Power",,Wildbear Entertainment,,Documentary,Australian English,,"Feb 13, 2018",,1h 15m,,,Ballerina,,,
James B. Merryman,,,Netflix,,,Music,English,,"Oct 29, 2024",,1h 44m,,,Olivia Rodrigo: GUTS World Tour,,,
Joe Lynch,"Barbara Crampton,Bob Portal,Inderpal Singh,Joe Wicker",Dennis Paoli,RLJE Films / Shudder,"AMP International,Eyevox Entertainment",,"Horror,Mystery & Thriller",English,"Oct 27, 2023, Limited","Oct 27, 2023",$11.1K,1h 39m,,,Suitable Flesh,,,
Josh Safdie,"Adam Sandler,Josh Safdie,Ronald Bronstein,Eli Bush,Dan Bulla,Carter Hambley,Brian M. Robinson,Joseph Vecsey,Judit Maull,Eli Thomas,Perry Sachs",Adam Sandler,Netflix,Happy Madison Productions,,"Comedy,Stand-Up",English,,"Aug 27, 2024",,1h 14m,,,Adam Sandler: Love You,,,
Belinda Chayko,,Belinda Chayko,,,,Drama,English,,"Sep 11, 2015",,1h 26m,,,Lou,,,
Alexandre Michaud,Alexandre Michaud,Alexandre Michaud,,,,Horror,English,,,,1h 10m,Stereo,,Clean,,,
Bao Nguyen,"Bruce Eskowitz,George Hencken,Larry Klein,Julia Nottingham,Harriet Sternberg,Lionel Richie",,Netflix,"Makemake,Paramount Pictures",PG-13 (Some Strong Language),"Documentary,Music,History",English,"Jan 31, 2024, Limited","Jan 29, 2024",,1h 36m,,,The Greatest Night in Pop,,,
Shane Edelman,"Ehud Bleiberg,Terence Michael,Yitzhak Ginsberg,Richard Finney,Abra Edelman,Gay Ribisi","Shane Edelman,Marissa Ribisi,Meredith Morton",,"Dream Entertainment,Michael/Finney Productions",R,"Romance,Comedy,LGBTQ+",English,,"Apr 1, 2009",,1h 33m,Surround,,Spencer,,,
Dylan Vox,"Tyler Martin,Dylan Vox",Scotty Mullen,,MarVista Entertainment,,Mystery & Thriller,English,,"Aug 3, 2021",,1h 30m,,,Trapped Daughter,,,
Nicholas Winter,"Sammy Measom,Jeet Thakrar,Lucinda Rhodes Thakrar",Nicholas Winter,101 Films,Picture Perfect,,"War,Action",British English,,"Jan 9, 2024",,1h 35m,,,War Blade,,,
Ronnie S. Riskalla,Yolandi Franken,"Ronnie S. Riskalla,Ronnie S. Riskalla",Buffalo 8,,,Drama,English,,"Oct 25, 2024",,1h 42m,,,Streets of Colour,,,
Gian Carlo Menotti,,,,,,Musical,English,"Sep 5, 1951, Original",,,1h 24m,,,The Medium,,,
Joby Harold,"John Penotti,Jason Kliot,Joana Vicente,Fisher Stevens,Bob Weinstein",Joby Harold,Weinstein Co.,"Weinstein Company,Open City Films,GreeneStreet Films Inc.",R (Intense Disturbing Situation|Brief Drug Use|Language),Mystery & Thriller,English,"Nov 30, 2007, Wide","Aug 10, 2016",$14.4M,1h 24m,"Dolby SRD,DTS,SDDS",Scope (2.35:1),Awake,,,
Pierre Aknine,,,,,,Comedy,English,,,,1h 30m,,,Coup de Chance,,,
Ephraim Asili,"Ephraim Asili,Vic Brooks",Ephraim Asili,Grasshopper Film,,,Drama,English,"Mar 12, 2021, Limited",,,1h 40m,,,The Inheritance,,,
"David Pastor,Àlex Pastor","Dylan Clark,Adrián Guerra,Chris Morgan,Núria Valls","David Pastor,Àlex Pastor,Josh Malerman",Netflix,"Nostromo Pictures,Chris Morgan Productions,Netflix Studios,Dylan Clark Productions",,"Horror,Sci-Fi",European Spanish,,"Jul 14, 2023",,1h 50m,"Dolby Atmos,Dolby Digital",Scope (2.35:1),Bird Box Barcelona,,,
Laron M. Chapman,"Casey Crowdis,Sha'ree Green,Eric Kuritz,Wendy A. Parker",Laron M. Chapman,,"WeerNProduction,You People,",,"Comedy,Drama",English,,"Aug 14, 2020",,1h 34m,,,You People,,,
Thomas Bezucha,"Paula Mazur,Mitchell Kaplan,Thomas Bezucha",Thomas Bezucha,Focus Features,Mazur / Kaplan Company,R (Violence),"Drama,Mystery & Thriller",English,"Nov 6, 2020, Limited","Nov 24, 2020",$9.4M,1h 54m,Dolby Digital,Scope (2.35:1),Let Him Go,,,
Paul Bogart,"Gabriel Katzka,Sidney Beckerman",Stirling Silliphant,,Cherokee Productions,PG,Mystery & Thriller,English,,"Apr 1, 2012",,1h 40m,,,Marlowe,,,
Daniel Brown,"Luke Barnett,Adam Baxter",Daniel Brown,Well Go USA Entertainment,,R (Some Sexual Material|Language Throughout|Graphic Nudity|Strong Violence),"Mystery & Thriller,Action",English,"Nov 10, 2023, Limited","Nov 14, 2023",$18.2K,1h 29m,,,Your Lucky Day,,,
Greg Mottola,"Bill Block,Jon Hamm,Connie Tavel","Greg Mottola,Zev Borow",Miramax Films,Miramax,R (Some Sexual Content|Language|Drug Use),"Comedy,Mystery & Thriller",English,"Sep 16, 2022, Wide","Sep 16, 2022",$711.6M,1h 38m,,Flat (1.85:1),"Confess, Fletch",,,
Baek Sang-yeol,,Park Se-yeol,,,,Mystery & Thriller,Korean,,"Jun 16, 2016",,1h 15m,,,Role Play,,,
Vin Diesel,,Vin Diesel,,One Race Productions,R (Drug Material|Strong Language|Some Sexual Content),Drama,English,,"Nov 24, 2018",,1h 45m,,,Strays,,,
Danis Tanovic,"Tracey Edmonds,Leopoldo Gout,Peter Nelson","Liza Marklund,Andrew Stern",RLJE Films,"Lip Sync,James Patterson Entertainment,Maze Pictures,Zweites Deutsches Fernsehen (ZDF),Hindsight Media,Wild Bunch Germany,Good Films Collective,K. JAM Media,Kodak Motion Pictures",,Mystery & Thriller,English,"Mar 13, 2020, Limited","Mar 13, 2020",,1h 44m,,,The Postcard Killings,,,
"Steffen Haars,Flip Van der Kuil","Jorn Baars,Maarten Swart","Steffen Haars,Flip Van der Kuil,Steffen Haars,Flip Van der Kuil",XYZ Films,Kaap Holland Film,,"Comedy,Horror",English,,"Oct 4, 2024",,1h 26m,,,Krazy House,,,
Gaelan Connell,"Charlie Saxton,Gaelan Connell","Charlie Saxton,Gaelan Connell",Giant Pictures,Dewey & Bug,,"Horror,Mystery & Thriller",English,,"Aug 20, 2024",,1h 33m,,,Art of a Hit,,,
Alma Har'el,"Brian Kavanaugh-Jones,Daniela Taplin Lundberg,Anita Gou,Chris Leggett,Alma Har'el",Shia LaBeouf,Amazon Studios,"Red Crown Productions,Automatik Entertainment,Kindred Spirit,Delirio Films,Harbor Picture Company",R (Pervasive Language|Drug Use|Some Sexual Material),Drama,English,"Nov 8, 2019, Limited","Feb 5, 2020",$3.0M,1h 33m,Dolby Atmos,Scope (2.35:1),Honey Boy,,,
Thomas Cailley,Pierre Guyard,"Thomas Cailley,Pauline Munier",Magnet Releasing,"Artémis Productions,Nord-Ouest Films,France 2 Cinéma,StudioCanal,Shelter prod",,"Sci-Fi,Fantasy,Drama",French (France),"Mar 15, 2024, Limited","Mar 15, 2024",$11.5K,2h 8m,,Digital 2.39:1,The Animal Kingdom,,,
Steven Boyle,"Steven Boyle,Kyle Lema","Steven Boyle,Toby Osborne",Shudder,Formation Pictures,,Horror,Australian English,,"Sep 6, 2024",,1h 35m,,,The Demon Disorder,,,
Sara Colangelo,"Max Borenstein,Marc Butan,Bard Dorros,Anthony Katagas,Sean Sorensen",Max Borenstein,Netflix,"Royal Viking Entertainment,MadRiver Pictures,West Madison Entertainment ,Higher Ground Productions,Wiffle Films,Anonymous Content,Paradise City Films,Riverstone Pictures",PG-13 (Thematic Elements|Some Strong Language),"Drama,Biography",English,"Sep 3, 2021, Limited","Sep 3, 2021",,1h 58m,,,Worth,,,
David Hackl,"Kevin DeWalt,Douglas Falconer,Benjamin DeWalt",Christopher Borrelli,Lionsgate,"Miscellaneous Entertainment,Minds Eye Entertainment,Falconer Pictures,Benaroya Pictures",R (Violence and Language),"Action,Mystery & Thriller",English,"Nov 5, 2021, Limited","Nov 5, 2021",,1h 39m,,,Dangerous,,,
Christos Nikou,"Coco Francini,Andrew Upton,Cate Blanchett,Christos Nikou,Lucas Wiesendanger","Christos Nikou,Stavros Raptis,Sam Steiner",Apple Original Films,"Dirty Films,FilmNation Entertainment",R (Language),"Drama,Sci-Fi,Romance",English,"Oct 27, 2023, Limited","Nov 3, 2023",,1h 53m,,,Fingernails,,,
Sam Boyd,"Tim Bevan,Eric Fellner,Riva Marker,Richard Curtis",Richard Curtis,Peacock,"Working Title,Universal Pictures",PG (Suggestive References|Some Language),"Holiday,Comedy,Fantasy",English,,"Nov 22, 2023",,1h 32m,,,Genie,,,
Christina Rosendahl,Jonas Frederiksen,"Christina Rosendahl,Dunja Gry Jensen,Kristian Bang Foss",,Nimbus Film,,"History,Drama",English,,"Mar 26, 2021",,1h 50m,,,The Good Traitor,,,
Sofia Alaoui,"Margaux Lorier,Toufik Ayadi,Christophe Barral","Sofia Alaoui,Sofia Alaoui",Dark Star Pictures,"Centre national du cinéma et de l'image animée (CNC),Dounia Productions,Centre Cinématographique Marocain,Srab Films,Fonds Images de la Francophonie,Wrong Films,Jiango Films,arte France Cinéma",,"Sci-Fi,Drama,Mystery & Thriller",French,"Jun 7, 2024, Limited","Jun 18, 2024",,1h 31m,,Digital 2.39:1,Animalia,,,
"John Adams,Zelda Adams,Toby Poser",Toby Poser,"Zelda Adams,Toby Poser,John Adams",,Wonder Wheel Productions ,,Horror,English,,"Feb 24, 2022",,1h 26m,,,Hellbender,,,
Svetlana Cvetko,"David Scott Smith,Nick Sarkisov","Svetlana Cvetko,David Scott Smith",Labz Live,"Blitz Films,Purple Road Pictures,Pharos Film Company",,"Romance,Drama",English,"Feb 12, 2021, Limited","Apr 27, 2021",,1h 41m,,Scope (2.35:1),Show Me What You Got,,,
"Molly Gordon,Nick Lieberman","Erik Feig,Samie Kim Falvey,Julia Hammer,Ryan Heller,Maria Zuckerman,Jessica Elbaum,Will Ferrell,Noah Galvin,Molly Gordon,Nick Lieberman,Ben Platt","Noah Galvin,Molly Gordon,Nick Lieberman,Ben Platt",Searchlight Pictures,"Picturestart,Gloria Sanchez Productions,Topic Studios",PG-13 (Suggestive/Drug References|Some Strong Language),"Comedy,Drama",English,"Aug 4, 2023, Wide","Sep 14, 2023",$4.0M,1h 34m,Dolby Digital,,Theater Camp,,,
